gatherdate,strike,expiry,timevalue,gexp,dexp,vexp,cexp,ccash,pcash,call_volume,put_volume,call_oi,put_oi
2024-05-22 16:09:49,446.0,2024-05-23,0.003968253968253968,-47411162.93161022,0.07863993616459822,-263163.626883739,-513180718.5390643,0.0,1061788499.9999977,0.0,23690.0,0.0,10935.0
2024-05-22 16:09:49,447.0,2024-05-23,0.003968253968253968,-8175196.532597129,0.10442638996250543,-40261.38004194515,-90564200.52591155,0.0,134395299.99999967,0.0,17455.0,0.0,1543.0
2024-05-22 16:09:49,450.0,2024-05-23,0.003968253968253968,-34373831.00105353,0.21111280171109428,-107265.19926806152,-374708543.84722716,0.0,239420299.99999917,0.0,26609.0,0.0,4193.0
2024-05-22 16:09:49,451.0,2024-05-23,0.003968253968253968,10544921.428208906,0.8847765590209786,49811.37079596378,34030153.97827549,49502099.999999784,0.0,694.0,0.0,1051.0,0.0
2024-05-22 16:09:49,452.0,2024-05-23,0.003968253968253968,-5636758.5131131,1.1303723494539928,16421.547198256376,-183436160.71587983,45224899.99999975,85292899.99999954,1152.0,9572.0,1219.0,2299.0
2024-05-22 16:09:49,453.0,2024-05-23,0.003968253968253968,-14694258.011056311,1.074300125049503,-5430.056351424886,-255947155.81264186,33034899.99999975,87912399.99999934,4189.0,15490.0,1219.0,3244.0
2024-05-22 16:09:49,454.0,2024-05-23,0.003968253968253968,22466517.19643754,0.6350354732165311,29748.26695659302,101161864.64440787,25889399.99999969,0.0,6568.0,0.0,1514.0,0.0
2024-05-22 16:09:49,455.0,2024-05-23,0.003968253968253968,27472955.788341604,1.0197631781211733,17351.675320772072,61889864.92317982,16585599.999999523,6127299.999999822,13892.0,14884.0,2336.0,863.0
2024-05-22 16:09:49,456.0,2024-05-23,0.003968253968253968,19446859.973660935,0.4866462986066917,-3515.8732268018084,74084348.33672926,3749700.000000265,0.0,15041.0,0.0,1293.0,0.0
2024-05-22 16:09:49,457.0,2024-05-23,0.003968253968253968,18136865.449024525,0.41699799908962154,-15973.749503016403,62034867.24292618,16266900.000000257,0.0,18979.0,0.0,1261.0,0.0
2024-05-22 16:09:49,458.0,2024-05-23,0.003968253968253968,57396766.93327941,0.3471985968207166,-92258.56313211072,157388801.9694773,95012100.00000085,0.0,20028.0,0.0,4149.0,0.0
2024-05-22 16:09:49,459.0,2024-05-23,0.003968253968253968,37177850.59465881,0.2880232683702718,-84330.46432718124,88071376.15906197,97877500.00000061,0.0,11236.0,0.0,2975.0,0.0
2024-05-22 16:09:49,460.0,2024-05-23,0.003968253968253968,30676450.420736432,0.23187228249638414,-90709.82217496182,58166990.72878225,118017900.00000057,0.0,17308.0,0.0,2751.0,0.0
2024-05-22 16:09:49,461.0,2024-05-23,0.003968253968253968,15733009.841946825,0.18177954926239326,-57503.316424032724,22966651.48619022,86068300.00000033,0.0,11547.0,0.0,1627.0,0.0
2024-05-22 16:09:49,462.0,2024-05-23,0.003968253968253968,25545412.79478883,0.13400182431884594,-113518.67206381206,25576915.85417562,198575300.00000066,0.0,6544.0,0.0,3157.0,0.0
2024-05-22 16:09:49,463.0,2024-05-23,0.003968253968253968,5909096.600509409,0.10218496717902364,-30050.07471614865,4501522.914412079,65318400.000000186,0.0,10191.0,0.0,896.0,0.0
2024-05-22 16:09:49,464.0,2024-05-23,0.003968253968253968,7447049.6564663,0.07100357599998594,-43750.73529951976,3599153.744870914,120951100.0000003,0.0,35483.0,0.0,1459.0,0.0
2024-05-22 16:09:49,465.0,2024-05-23,0.003968253968253968,9044734.224318715,0.04944979186124873,-59662.96932761997,2789087.194498886,218036300.00000048,0.0,4793.0,0.0,2347.0,0.0
