gatherdate,strike,expiry,timevalue,gexp,dexp,vexp,cexp,ccash,pcash,call_volume,put_volume,call_oi,put_oi
2025-02-03 11:43:27,205.0,2025-02-03,0.001984126984126984,-413.3757044020266,3.218756801380619,-0.3779939609442294,-0.006383304949102677,0.0,6106999.999999995,0.0,24.0,0.0,31.0
2025-02-03 11:43:27,205.0,2025-02-28,0.0992063492063492,-446812.40618120047,21792.718151256195,-414.3353469537562,-2057.911854985767,590999.9999999997,168434999.99999988,5.0,49.0,3.0,855.0
2025-02-03 11:43:27,205.0,2025-03-07,0.12698412698412698,-195370.35749009796,10685.8265145742,-180.44755107926716,-1363.4896444908047,0.0,72495999.99999996,0.0,69.0,0.0,368.0
2025-02-03 11:43:27,205.0,2025-03-21,0.18253968253968253,-30641817.376265205,4313776.765806583,-37752.37078661974,-111740.61492164747,2049981999.9999988,13541779999.999994,3.0,5295.0,10406.0,68740.0
2025-02-03 11:43:27,205.0,2025-02-21,0.07142857142857142,-16977842.427921377,2047977.0528169523,-21804.940457190503,27870.239303127768,1237159999.9999993,7948752999.999995,58.0,2806.0,6280.0,40349.0
2025-02-03 11:43:27,205.0,2025-02-07,0.015873015873015872,-6180338.991791472,140399.90370965336,-5686.728676120409,-1831.1350365008318,11819999.999999993,4377930999.999998,4.0,52.0,60.0,22223.0
2025-02-03 11:43:27,205.0,2025-02-04,0.003968253968253968,-7165.467243296123,62.18819075876673,-6.5538541729863695,-0.24668445501076888,0.0,61857999.99999996,0.0,112.0,0.0,314.0
2025-02-03 11:43:27,205.0,2025-02-11,0.031746031746031744,-1538.8041123146531,40.998410486157134,-1.405549453421661,-1.3027567346264906,0.0,787999.9999999995,0.0,1.0,0.0,4.0
2025-02-03 11:43:27,205.0,2025-03-14,0.15476190476190477,-14252.691129859697,900.0614720809469,-13.18074186200738,-140.12578273524267,0.0,5318999.999999996,0.0,38.0,0.0,27.0
2025-02-03 11:43:27,205.0,2025-02-14,0.04365079365079365,-264961.3532849339,25401.742097752776,-315.64795968274757,184.7694248821034,14774999.99999999,127261999.99999993,8.0,45.0,75.0,646.0
2025-02-03 11:43:27,205.0,2025-02-13,0.03968253968253968,-1893.3750507270256,65.16529828078745,-1.7239143995914485,-2.5892518073584943,0.0,787999.9999999995,0.0,4.0,0.0,4.0
2025-02-03 11:43:27,206.0,2025-02-10,0.027777777777777776,-1598.4085649604667,39.56583675826846,-1.3831271961880478,-1.0999039100521166,0.0,747999.9999999995,0.0,50.0,0.0,4.0
2025-02-03 11:43:27,206.0,2025-02-04,0.003968253968253968,-201.22901633384322,1.718195393015609,-0.17431985485145665,-0.006815700396427987,0.0,1308999.9999999993,0.0,5.0,1e-10,7.0
2025-02-03 11:43:27,206.0,2025-02-06,0.011904761904761904,-1287.3137197267338,20.959948869112747,-1.1133709227697002,-0.24954256491555604,0.0,1121999.9999999993,0.0,6.0,0.0,6.0
2025-02-03 11:43:27,206.0,2025-02-14,0.04365079365079365,-62885.84270497554,7515.435195979106,-79.30191350126533,99.98163874424118,4674999.999999997,28423999.99999998,9.0,7.0,25.0,152.0
2025-02-03 11:43:27,206.0,2025-03-21,0.18253968253968253,-2708209.976879377,423104.74072809843,-3366.6390918263082,-5893.255195064485,206821999.99999985,1123308999.9999995,8.0,85.0,1106.0,6007.0
2025-02-03 11:43:27,206.0,2025-02-05,0.007936507936507936,-354.61857001789684,4.494813038159387,-0.3069223763868142,-0.0356685935853855,0.0,560999.9999999997,0.0,2.0,0.0,3.0
2025-02-03 11:43:27,206.0,2025-03-07,0.12698412698412698,-214578.012740653,11861.398057160983,-187.98927196511988,-1513.498579424212,0.0,71246999.99999996,0.0,3.0,0.0,381.0
2025-02-03 11:43:27,206.0,2025-02-28,0.0992063492063492,-251962.15876330185,13810.279092360712,-228.91810358343614,-1041.4941601427577,1682999.9999999988,85832999.99999996,9.0,35.0,9.0,459.0
2025-02-03 11:43:27,206.0,2025-03-14,0.15476190476190477,-1668.3444380549417,104.55884358075265,-1.4657668933802757,-16.278269629031268,0.0,560999.9999999997,0.0,1.0,0.0,3.0
2025-02-03 11:43:27,206.0,2025-02-21,0.07142857142857142,-23112449.710369453,996040.3992965925,-20280.7444378556,-65801.11366465314,37586999.99999998,7918701999.999995,4.0,87.0,201.0,42346.0
2025-02-03 11:43:27,206.0,2025-02-07,0.015873015873015872,-22488.69063550193,6568.544358384054,-44.19935978620299,80.25943468034858,5235999.999999997,21691999.99999999,1.0,14.0,28.0,116.0
2025-02-03 11:43:27,206.0,2025-02-03,0.001984126984126984,-3698.2688059171164,27.43656491698762,-3.2031725097520183,-0.054411147043700404,0.0,47497999.99999998,0.0,35.0,0.0,254.0
2025-02-03 11:43:27,207.0,2025-03-07,0.12698412698412698,-66252.51821937782,3692.505305173873,-54.91899126234355,-471.1612846513456,0.0,19646999.999999985,0.0,46.0,0.0,111.0
2025-02-03 11:43:27,207.0,2025-02-28,0.0992063492063492,-13277128.129231684,635345.0690343077,-10969.90343260123,-63191.2465432876,353999.99999999977,3919487999.9999976,1.0,119.0,2.0,22144.0
2025-02-03 11:43:27,207.0,2025-02-07,0.015873015873015872,-34442.454719192305,25634.00838603881,-134.79620404990538,342.02427138809674,20354999.999999985,48851999.99999997,3.0,10.0,115.0,276.0
2025-02-03 11:43:27,207.0,2025-02-12,0.03571428571428571,-1645.8183894060778,53.434562723508904,-1.3417893925843103,-1.910541457300877,0.0,530999.9999999997,0.0,3.0,0.0,3.0
