gatherdate,strike,expiry,timevalue,gexp,dexp,vexp,cexp,ccash,pcash,call_volume,put_volume,call_oi,put_oi
2024-06-04 13:51:57,507.0,2024-06-14,0.03968253968253968,-5253692.548483266,96601.61466902526,-2066.8491838493946,-3838.7564299121545,0.0,351825599.99999905,0.0,157.0,0.0,1776.0
2024-06-04 13:51:57,507.5,2024-06-14,0.03968253968253968,-3899568.924798134,72507.03032373625,-1495.8384452237399,-2881.2927885152008,0.0,245236999.9999993,0.0,401.0,0.0,1270.0
2024-06-04 13:51:57,508.0,2024-06-14,0.03968253968253968,-7055820.191177892,132529.26879770035,-2637.394707863066,-5266.476419052192,0.0,416829599.99999875,0.0,84.0,0.0,2216.0
2024-06-04 13:51:57,509.0,2024-06-14,0.03968253968253968,-8274945.571946354,195906.40475219535,-3126.5641867923946,-5032.58807797533,14247999.999999957,447030999.9999986,1.0,367.0,80.0,2510.0
2024-06-04 13:51:57,510.0,2024-06-14,0.03968253968253968,-44247118.18955912,849645.0055565089,-14814.444446292446,-33763.66567630101,0.0,2037035799.9999933,0.0,2002.0,0.0,12118.0
2024-06-04 13:51:57,511.0,2024-06-14,0.03968253968253968,-9963585.357202044,316806.3526703031,-3726.4341101407895,-4360.581675873608,38576399.999999866,440940899.9999985,1.0,480.0,244.0,2789.0
2024-06-04 13:51:57,512.0,2024-06-07,0.011904761904761904,-50571084.444042765,387634.824844787,-14584.955168724677,-4615.80560191879,0.0,2768729499.9999895,0.0,549.0,0.0,18695.0
2024-06-04 13:51:57,512.0,2024-06-14,0.03968253968253968,-8389405.192937668,250761.15690756647,-2882.0381289419875,-4346.022679662327,24880799.999999907,321969399.9999988,63.0,379.0,168.0,2174.0
2024-06-04 13:51:57,512.5,2024-06-14,0.03968253968253968,-4629783.576557152,125250.89375309444,-1477.2023261177462,-2830.849059687008,9301499.999999965,162704699.99999937,5.0,734.0,65.0,1137.0
2024-06-04 13:51:57,512.5,2024-06-07,0.011904761904761904,-13186252.982719172,96287.33591636721,-3675.814710787124,-1146.5507775680924,0.0,685735199.9999974,0.0,93.0,0.0,4792.0
2024-06-04 13:51:57,513.0,2024-06-14,0.03968253968253968,-11652685.161974365,292267.5389799578,-3501.1420451474237,-7682.252357197158,16571999.999999937,377289199.9999985,7.0,1009.0,120.0,2732.0
2024-06-04 13:51:57,513.0,2024-06-07,0.011904761904761904,-25231259.95243785,193186.36684790658,-6786.713894636687,-2300.4037240141947,0.0,1109909699.9999957,0.0,843.0,0.0,8037.0
2024-06-04 13:51:57,514.0,2024-06-14,0.03968253968253968,-13844767.989086414,379118.46043494256,-3985.1161624013525,-9003.941121867347,24082799.9999999,397494299.99999833,4.0,662.0,188.0,3103.0
2024-06-04 13:51:57,514.0,2024-06-07,0.011904761904761904,-50622641.36335356,401092.62925014365,-12632.425815997887,-4776.134956717346,0.0,1721023499.9999928,0.0,1525.0,0.0,13435.0
2024-06-04 13:51:57,515.0,2024-06-07,0.011904761904761904,-90356805.27176796,1673736.71296604,-24858.114999143192,242.7295756777894,209509399.99999905,2586980499.999988,73.0,5588.0,1774.0,21905.0
2024-06-04 13:51:57,515.0,2024-06-14,0.03968253968253968,-94922395.50921836,4771754.2704861695,-34873.04495748706,-13092.326798166687,652266299.999997,2843966099.999987,42.0,3469.0,5523.0,24081.0
2024-06-04 13:51:57,516.0,2024-06-14,0.03968253968253968,-10679471.79295027,410832.825962777,-3095.1710306254886,-5127.925224691991,38807899.9999998,253278299.9999987,9.0,366.0,359.0,2343.0
2024-06-04 13:51:57,516.0,2024-06-07,0.011904761904761904,-40153014.77475127,741500.1818194473,-10249.002849051187,-382.27218939351224,81399299.99999958,897878599.9999955,16.0,1732.0,753.0,8306.0
2024-06-04 13:51:57,517.0,2024-06-14,0.03968253968253968,-16388245.422810039,564461.5605722051,-4129.265684819494,-9536.491397287866,41201999.99999978,322062299.9999982,20.0,452.0,420.0,3283.0
2024-06-04 13:51:57,517.0,2024-06-07,0.011904761904761904,-35411715.98839327,658030.6544842817,-8421.772190145739,-521.9785005683289,65432699.99999964,631273499.9999964,25.0,2526.0,667.0,6435.0
